Effects	效果滤镜
Vignette	渐晕
Cente rX	X轴中心点
Roundness	圆滑
Blur	模糊
Desaturate	饱和度减弱
Chromatic Aberration	色差
Focus Distance	焦距
useARGBHalf	使用ARGBHalf
Visualize	可视化
precision	精度
Shadows	阴影
Midtones	中间色调
Highlights	高光
angle	角度
opacity	透明度
Blend Mode	选择模式
Downsampling	下取样
Ambient Only	仅环境
Color Selection Type	颜色类型选择
Gradient First Color	渐变色-前
Gradient Last Color	渐变色-后
End Distance	结束距离
Height Fog	高度雾
Base Height	基础高度
Base Density	基础密度
Density Falloff	密度衰减
Fall-Off	衰减
Distortion Frequency	失真度
Distortion Amount	失真数量
Modulation Mode	调制方式
Modulation Axis X	调制X轴
Modulation Axis Y	调制Y轴
Modulation Axis Z	调制Z轴
Modulation Frequency	调制频率
Modulation Speed	调制速度
Modulation Exponent	调制指数
CullingMask	选择性的渲染部分场景
Add Model	添加模型
stretch	伸展
Streak Cross	交叉条纹
Streak Vertical	垂直条纹
NearPlane	近平面
NearFalloff	近衰减
NearBlurRadius	近模糊半径
FarPlane	远平面
FarFalloff	远衰减
FarBlurRadius	远模糊半径
useBokehTexture	使用散景纹理
Bokeh Texture	散景纹理
bokehScale	散景比例
bokehIntensity	散景强度
bokehThreshold	散景阈值
bokehSpawnHeuristic	散景光斑产生条件
Threshhold	阈值
Threshhold Color	阈值色彩
Blur Iterations	模糊迭代
Lensflare Intensity	镜头光晕强度
Lensflare Threshold	镜头光晕阈值
Lensflare Rotation	镜头光晕旋转
Hollywood Blur Stretch Width	好莱坞模糊拉伸宽度
Hollywood Blur Iterations	好莱坞模糊迭代
Lensflare Saturation	镜头光晕饱和度
Lensflare Mode	镜头光晕模式
MiddleGrey	场景平均灰度
Min	最小
Max	最大
StylisticFog	雾气
Texture	纹理
Flare Color A	镜头光晕颜色A
Flare Color B	镜头光晕颜色B
Flare Color C	镜头光晕颜色C
Flare Color D	镜头光晕颜色D
Fall-Off 	衰减
RadiusBasePixel	基础半径像素
Distance Fog	远程雾
Spawn Heuristic	光斑产生条件
BlackOut	加暗
WhiteOut	加亮
apertureOrientation	光圈方向
Model Layer Mode
Colored	颜色调整
Brightness Colored	颜色亮度
Color Balance	颜色平衡


90135翻译-于GITHUB免费发布
https://github.com/90135/COM3D2_Plugin_Translate_Chinese



===========i增补============ 
非表示	᠎隐藏
昼: エンパイアクラブ-ロータリー	᠎中午：帝国俱乐部-环岛
昼: エンパイアクラブ-エントランス	᠎中午：帝国俱乐部-入口
昼: トレーニングルーム	᠎中午：训练室
昼: 劇場	᠎中午：剧院
昼: カジノ	᠎中午：赌场
昼: カジノミニ	᠎中午：赌场迷你
昼: ライブステージ	᠎中午：现场舞台
昼: ライブステージ裏	᠎中午：现场舞台背后
昼: バーラウンジ	᠎中午：酒吧休息室
昼: キッチン	᠎中午：厨房
昼: 主人公部屋	᠎白天：主人公房间
昼: オープンカフェ	᠎中午：开放式咖啡馆
昼: レストラン	᠎中午：餐厅
昼: 執務室	᠎中午：办公室
昼: ショッピングモール	᠎中午：购物中心
昼: 宿泊部屋-ベッドルーム	᠎中午：住宿房间-卧室
昼: 宿泊部屋-リビング	᠎中午：住宿房间-客厅
昼: 宿泊部屋-トイレ	᠎中午：住宿房间-厕所
昼: 宿泊部屋-洗面所	᠎中午：住宿房间-盥洗室
昼: SMクラブ	᠎中午：SM俱乐部
昼: ソープ	᠎中午：索普
昼: スパ	᠎中午：水疗中心
昼: ランス10コラボカフェ	᠎中午：兰斯10合作咖啡馆
昼: シーカフェ	᠎中午：西咖啡馆
昼: リドルジョーカーコラボカフェ	᠎中午：里德尔乔卡合作咖啡馆
昼: ロッカールーム	᠎中午：更衣室
昼: 地下室	᠎中午：地下室
昼: プール	᠎中午：游泳池
昼: わんこの嫁入りコラボカフェ	᠎中午：汪汪这个出嫁的合作咖啡馆
昼: 神社	᠎中午：神社
昼: ラズベリーキューブコラボカフェ	᠎中午：拉斯伯利立方合作咖啡馆
昼: みにくいモジカの子コラボカフェ	᠎中午：难看的摩寨卡的孩子合作咖啡馆
昼: 未来ラジオと人工鳩コラボカフェ	᠎中午：未来电台与人造鸽子合作咖啡馆
昼: ゲレンデ	᠎中午：滑雪场
昼: 冒険者の酒場	᠎中午：冒险者的酒馆
昼: 金色ラブリッチェGTコラボカフェ	᠎中午：金色拉布里切GT合作咖啡馆
昼: 絆きらめく恋いろはコラボカフェ	᠎白昼：羁绊闪亮的恋爱伊吕波合作咖啡厅
昼: 春の庭園	᠎白天：春天的花园
昼: 春の庭園_屋台無し	᠎白天：春天的花园_没有摊位
昼: イブニクル2コラボカフェ	᠎中午：伊布尼库尔2合作咖啡馆
昼: コロラム！コラボカフェ	᠎中午：科洛拉姆！合作咖啡馆.
昼: コロラム！コラボカフェ2	᠎中午：科洛拉姆！合作咖啡馆2
昼: 日本家屋	᠎中午：日本房屋
昼: わんこの嫁入りコラボカフェ2	᠎中午：汪汪这个出嫁合作咖啡厅2
昼: あいミス！コラボカフェ	᠎白昼：爱失误！合作咖啡馆.
昼: ネコぱらコラボカフェ	᠎中午：猫帕拉合作咖啡馆
昼: トイレ	᠎中午：厕所
昼: 大聖堂	᠎中午：大教堂
昼: プライベートルーム	᠎中午：私人房间
昼: ホームレステント	᠎中午：无家可归的帐篷
昼: アイキスコラボカフェ	᠎中午：Ikisco La Be Cafe
昼: ブティック	᠎中午：精品店
昼: アダルトショップ	᠎中午：成人商店
昼: 公園	᠎中午：公园
昼: 公園-キッチンカー無し	᠎中午：公园-厨房无车
昼: 水族館	᠎中午：水族馆
昼: 水族館-椅子無し	᠎中午：水族馆-没有椅子
昼: 街角	᠎中午：街角
昼: マリーさんコラボカフェ	᠎中午：玛丽先生合作咖啡馆
昼: キャンプ場-昼	᠎中午：露营场-中午
昼: キャンプ場-夕方	᠎中午：露营场-晚上
昼: 撮影スタジオ	᠎中午：摄影工作室
昼: アイキス2コラボカフェ	᠎中午：眼吻2合作咖啡馆
昼: 水上コテージ	᠎中午：水上小屋
昼: モダン旅館	᠎中午：现代旅馆
昼: ハロウィンカフェ	᠎中午：万圣节咖啡馆
昼: 同棲ルーム	᠎中午：同居客房
昼: 純真メイド部屋	᠎中午：纯真女仆房间
昼: ツンデレメイド部屋	᠎中午：傲外女佣房间
昼: ウェディングビーチ-昼	᠎中午：婚礼海滩-白天
昼: ウェディングビーチ-夕方	᠎中午：婚礼海滩-晚上
昼: ハネムーンホテル-昼	᠎中午：蜜月酒店-中午
昼: ハネムーンホテル-夕方	᠎中午：蜜月酒店-晚上
昼: シャワールーム-昼	᠎中午：淋浴间-白天
昼: 隠れ入り江-昼	᠎中午：隐藏海湾-白天
昼: 隠れ入り江-夕方	᠎中午：隐藏海湾-晚上
昼: 海上コテージ-昼	᠎白天：海上小屋-白天
昼: クーデレメイド部屋	᠎中午：空调房
昼: 小悪魔色の同棲ルーム	᠎中午：小恶魔色的同居房间
昼: ドS色の同棲ルーム	᠎中午：德S色的同居房间
昼: 無愛想色の同棲ルーム	᠎白天：不和蔼可亲色的同居房间
昼: 文学少女色の同棲ルーム	᠎白天：文学少女色的同居房间
昼: ご主人様部屋IF	᠎中午：主人房间IF
昼: おしとやか色の同棲ルーム	᠎白昼：华丽色彩的同居客房
昼: お嬢様色の同棲ルーム	᠎中午：大小姐色的同居房间
昼: メイド秘書色の同棲ルーム	᠎中午：女仆秘书颜色的同居房间
昼: 地下調教室【通常】	᠎中午：地下训练室[正常]
昼: 地下調教室【汚れ】	᠎中午：地下驯养室[脏]
昼: Pure Room	᠎中午：Pure Room
昼: Serious Room	᠎中午：Serious Room
昼: Rindere Room	᠎中午：Rindere Room
昼: Innocence Room	᠎中午：Innocence Room
昼: Kuudere Room	᠎中午：Kuudere Room
昼: Tsundere	᠎中午：Tsundere
昼: Bookworm Room	᠎中午：Bookworm Room
昼: Yandere Room	᠎中午：Yandere Room
昼: Oneechan Room	᠎中午：Oneechan Room
昼: Koakuma Room	᠎中午：Koakuma Room
昼: Genki Room	᠎中午：Genki Room
昼: Sadist Room	᠎中午：Sadist Room
昼: Oshitoya Room	᠎中午：Oshitoya Room
昼: Imouto Room	᠎中午：Imouto Room
昼: Maid Secretary Room	᠎中午：Maid Secretary Room
昼: Wary Room	᠎中午：Wary Room
昼: Oujosama Room	᠎中午：Oujosama Room
昼: Osananajimi Room	᠎中午：Osananajimi Room
夜: エンパイアクラブ-ロータリー	᠎晚上：帝国俱乐部-环岛
夜: 劇場	᠎晚上：剧院
夜: キッチン	᠎晚上：厨房
夜: 主人公部屋	᠎晚上：主人公房间
夜: オープンカフェ	᠎晚上：开放式咖啡馆
夜: レストラン	᠎晚上：餐厅
夜: 執務室	᠎晚上：办公室
夜: ショッピングモール	᠎晚上：购物中心
夜: 宿泊部屋-ベッドルーム	᠎晚上：住宿房间-卧室
夜: 宿泊部屋-リビング	᠎晚上：住宿房间-客厅
夜: 宿泊部屋-トイレ	᠎晚上：住宿房间-厕所
夜: 宿泊部屋-洗面所	᠎晚上：住宿房间-盥洗室
夜: スパ	᠎晚上：水疗中心
夜: ランス10コラボカフェ	᠎晚上：兰斯10合作咖啡馆
夜: シーカフェ	᠎晚上：西咖啡馆
夜: リドルジョーカーコラボカフェ	᠎晚上：里德尔乔卡合作咖啡馆
夜: プール	᠎晚上：游泳池
夜: わんこの嫁入りコラボカフェ	᠎晚上：汪汪这个出嫁合作咖啡馆
夜: 神社	᠎晚上：神社
夜: ラズベリーキューブコラボカフェ	᠎晚上：拉斯伯利立方合作咖啡馆
夜: みにくいモジカの子コラボカフェ	᠎晚上：难看的摩西卡的孩子合作咖啡馆
夜: 未来ラジオと人工鳩コラボカフェ	᠎晚上：未来电台与人造鸽子合作咖啡馆
夜: ポールダンスステージ	᠎晚上：舞者舞台
夜: エンパイアクラブ-廊下	᠎晚上：帝国俱乐部-走廊
夜: エンパイアクラブ-エレベーター	᠎晚上：帝国俱乐部-电梯
夜: ゲレンデ	᠎晚上：滑雪场
夜: 冒険者の酒場	᠎晚上：冒险者的酒馆
夜: 金色ラブリッチェGTコラボカフェ	᠎晚上：金色拉布里切GT合作咖啡馆
夜: 絆きらめく恋いろはコラボカフェ	᠎夜：羁绊闪亮的恋情伊吕波合作咖啡馆
夜: 春の庭園	᠎晚上：春天的花园
夜: 春の庭園_屋台無し	᠎晚上：春天的花园_没有摊位
夜: イブニクル2コラボカフェ	᠎晚上：Ibunicle 2合作咖啡馆
夜: コロラム！コラボカフェ	᠎晚上：科洛拉姆！合作咖啡馆.
夜: コロラム！コラボカフェ2	᠎晚上：科洛拉姆！合作咖啡馆2
夜: 日本家屋	᠎晚上：日本房屋
夜: わんこの嫁入りコラボカフェ2	᠎晚上：汪汪这个出嫁合作咖啡厅2
夜: あいミス！コラボカフェ	᠎夜：爱失误！合作咖啡馆.
夜: ネコぱらコラボカフェ	᠎晚上：猫巴合作咖啡馆
夜: プライベートルーム	᠎晚上：私人房间
夜: プライベートルーム-消灯	᠎晚上：私人房间-关闭
夜: アイキスコラボカフェ	᠎晚上：伊基斯科拉博科咖啡馆
夜: 公園	᠎晚上：公园
夜: 公園-キッチンカー無し	᠎晚上：公园-没有厨房车
夜: 居酒屋	᠎晚上：酒馆
夜: 居酒屋-散らかり	᠎晚上：酒馆-散落
夜: 街角	᠎晚上：街角
夜: マリーさんコラボカフェ	᠎晚上：玛丽先生合作咖啡馆
夜: ラブホテル	᠎晚上：爱情酒店
夜: 怪しげなバー	᠎晚上：奇怪的酒吧
夜: キャンプ場-夜	᠎晚上：露营场-晚上
夜: 撮影スタジオ	᠎晚上：摄影工作室
夜: アイキス2コラボカフェ	᠎晚上：眼吻2合作咖啡馆
夜: 水上コテージ	᠎晚上：水上小屋
夜: モダン旅館	᠎晚上：现代旅馆
夜: 祭りの神社	᠎晚上：节日神社
夜: ラブホテル2-ベッド回転ON	᠎晚上：情人旅馆2-床旋转ON
夜: ラブホテル2-ベッド回転OFF	᠎晚上：情人旅馆2-关闭床旋转
夜: 同棲ルーム	᠎晚上：同居客房
夜: 純真メイド部屋	᠎晚上：纯真女仆房间
夜: ツンデレメイド部屋	᠎晚上：傲外女佣房间
夜: ウェディングビーチ-夜	᠎晚上：婚礼海滩-晚上
夜: ハネムーンホテル-夜	᠎晚上：蜜月酒店-晚上
夜: シャワールーム-夜	᠎晚上：淋浴间-晚上
夜: 隠れ入り江-夜	᠎晚上：隐藏海湾-晚上
夜: 海上コテージ-夜	᠎晚上：海上小屋-晚上
夜: クーデレメイド部屋	᠎晚上：空调房
夜: 小悪魔色の同棲ルーム	᠎晚上：小恶魔色的同居房间
夜: ドS色の同棲ルーム	᠎晚上：德S色的同居房间
夜: ダンスバー	᠎晚上：舞蹈酒吧
夜: 無愛想色の同棲ルーム	᠎晚上：和蔼可亲的同居房间
夜: 文学少女色の同棲ルーム	᠎晚上：文学少女色的同居房间
夜: ご主人様部屋IF	᠎晚上：主人房间IF
夜: ご主人様部屋IF-消灯	᠎晚上：主人房间IF-熄灯
夜: おしとやか色の同棲ルーム	᠎晚上：端庄颜色的同居客房
夜: お嬢様色の同棲ルーム	᠎晚上：大小姐色的同居房间
夜: 大きな居酒屋	᠎晚上：大酒馆
夜: メイド秘書色の同棲ルーム	᠎晚上：女仆秘书颜色的同居房间
夜: Pure Room  (Night)	᠎晚上：Pure Room(Night)
夜: Serious Room  (Night)	᠎晚上：Serious Room(Night)
夜: Rindere Room  (Night)	᠎晚上：Rindere Room(Night)
夜: Innocence Room  (Night)	᠎晚上：Innocence Room(Night)
夜: Kuudere Room  (Night)	᠎晚上：Kuudere Room(Night)
夜: Tsundere  (Night)	᠎晚上：Tsundere(Night)
夜: Bookworm Room  (Night)	᠎晚上：Bookworm Room(Night)
夜: Yandere Room  (Night)	᠎晚上：Yandere Room(Night)
夜: Oneechan Room  (Night)	᠎晚上：Oneechan Room(Night)
夜: Koakuma Room  (Night)	᠎晚上：Koakuma Room(Night)
夜: Genki Room  (Night)	᠎晚上：Genki Room(Night)
夜: Sadist Room  (Night)	᠎晚上：Sadist Room(Night)
夜: Oshitoya Room  (Night)	᠎晚上：Oshitoya Room(Night)
夜: Imouto Room (Night)	᠎晚上：Imouto Room(Night)
夜: Maid Secretary Room (Night)	᠎晚上：Maid Secretary Room(Night)
夜: Wary Room (Night)	᠎晚上：Wary Room(Night)
夜: Oujosama Room (Night)	᠎晚上：Oujosama Room(Night)
夜: Osananajimi Room (Night)	᠎晚上：Osananajimi Room(Night)
夜伽: サロン:昼	᠎夜伽：沙龙：白天
夜伽: 旧主人公部屋:昼	᠎夜伽：旧主人公房间：白昼
夜伽: 旧主人公部屋:夜	᠎夜伽：旧主人公房间：夜
夜伽: プレイルーム	᠎夜伽：游乐室
夜伽: 旧プール	᠎夜伽：旧游泳池
夜伽: 旧SMルーム	᠎夜伽：旧SM房间
夜伽: 初代バスルーム	᠎夜伽：第一代浴室
夜伽: プレイルーム2	᠎夜伽：游乐室2
夜伽: 中庭	᠎夜伽：中庭
夜伽: 大浴場	᠎夜伽：大浴场
夜伽: 旧メイド部屋	᠎夜伽：老女仆房间
夜伽: 花魁風ルーム	᠎夜伽：花魁风格的房间
夜伽: ペントハウス	᠎夜伽：阁楼
夜伽: 屋外	᠎夜伽：户外
一般: 旧エントランス	᠎一般：旧入口
一般: 旧執務室:昼	᠎一般：旧办公室：中午
一般: 旧執務室:夜	᠎一般：旧办公室：晚上
一般: 旧執務室2:昼	᠎一般：旧办公室2：中午
一般: 旧執務室2:夜	᠎一般：旧办公室2：晚上
一般: ドレスルーム	᠎一般：礼服间
一般: 旧書斎:昼	᠎一般：旧书房：中午
一般: 旧書斎:夜	᠎一般：旧书房：晚上
一般: 旧キッチン:昼	᠎一般：老厨房：中午
一般: 旧キッチン:夜	᠎一般：老厨房：晚上
一般: 旧バー	᠎一般：旧酒吧
一般: プライベートルーム	᠎一般：私人房间
一般: プライベートルーム:夜	᠎一般：私人房间：晚上
一般: カラオケルーム	᠎一般：卡拉OK室
その他２: ゲームショップ	᠎其他2：游戏商店
その他２: ミュージックショップ	᠎其他2：音乐商店
その他２: ステージ・ライトオン	᠎其他2：舞台灯光
その他２: 教室・机なし	᠎其他2：没有教室·桌子
メイド部屋: 無垢:昼	᠎女仆房间：纯洁：白天
メイド部屋: 無垢:夜	᠎女仆房间：纯洁：晚上
メイド部屋: 真面目:昼	᠎女仆房间：认真：中午
メイド部屋: 真面目:夜	᠎女仆房间：认真：晚上
メイド部屋: 凜デレ:昼	᠎女仆房间：凛娇：白昼
メイド部屋: 凜デレ:夜	᠎女仆房间：凛娇：晚上
メイド部屋: 文学:昼	᠎女仆房间：文学：白天
メイド部屋: 文学:夜	᠎女仆房间：文学：夜
メイド部屋: 小悪魔:昼	᠎女仆房间：小恶魔：白天
メイド部屋: 小悪魔:夜	᠎女仆房间：小恶魔：晚上
メイド部屋: ヤンデレ:昼	᠎女仆房间：杨娇：白天
メイド部屋: ヤンデレ:夜	᠎女仆房间：杨娇：晚上
メイド部屋: お姉ちゃん:昼	᠎女仆房间：姐姐：中午
メイド部屋: お姉ちゃん:夜	᠎女仆房间：姐姐：晚上
メイド部屋: 僕っ娘:昼	᠎女仆房间：我女儿：中午
メイド部屋: 僕っ娘:夜	᠎女仆房间：我女儿：晚上
メイド部屋: ドＳ:昼	᠎女仆房间：抖S：中午
メイド部屋: ドＳ:夜	᠎女仆房间：抖S：晚上
メイド部屋: おしとやか:昼	᠎女仆房间：端庄：中午
メイド部屋: おしとやか:夜	᠎女仆房间：端庄：晚上
メイド部屋: メイド秘書:昼	᠎女仆房间：女仆秘书：中午
メイド部屋: メイド秘書:夜	᠎女仆房间：女仆秘书：晚上
メイド部屋: ふわふわ妹:昼	᠎女仆房间：蓬松的妹妹：中午
メイド部屋: ふわふわ妹:夜	᠎女仆房间：蓬松的妹妹：晚上
メイド部屋: 無愛想:昼	᠎女仆房间：冷漠：白天
メイド部屋: 無愛想:夜	᠎女仆房间：冷漠：晚上
メイド部屋: お嬢様:昼	᠎女仆房间：大小姐：中午
メイド部屋: お嬢様:夜	᠎女仆房间：小姐：晚上
メイド部屋: 幼馴染:昼	᠎女仆房间：青梅竹马：白天
メイド部屋: 幼馴染:夜	᠎女仆房间：青梅竹马：晚上
家具 : イスA	᠎家具：椅子A
家具 : イスB	᠎家具：椅子B
家具 : イスC	᠎家具：椅子C
家具 : イスD	᠎家具：椅子D
家具 : ふかふかチェア	᠎家具：蓬松的椅子
家具 : マリーゴールド	᠎家具：玛利金
家具 : シンプルテーブル	᠎家具：简约桌
家具 : サロンのソファ	᠎家具：沙龙沙发
家具 : サロンのソファ2	᠎家具：沙龙沙发2
家具 : サロンのソファ3	᠎家具：沙龙沙发3
家具 : サロンのソファ4	᠎家具：沙龙沙发4
道具 : ワイングラス	᠎工具：酒杯
道具 : カレー入り鍋	᠎道具：咖喱锅
道具 : じょうろ	᠎道具：好吧。
道具 : 華道道具	᠎道具：插花道具
道具 : 華道イス	᠎工具：插花椅子
道具 : まな板	᠎工具：砧板
道具 : スタンドマイク	᠎工具：台式麦克风
道具 : スタンドマイクベース	᠎工具：独立迈克库
道具 : コアラマイク	᠎工具：考拉麦克风
文房具 : ノート	᠎文具：笔记本
文房具 : 参考書（開）	᠎文具：参考书(开)
文房具 : 参考書A（閉）	᠎文具：参考书A(闭)
文房具 : 参考書B（閉）	᠎文具：参考书B(闭)
文房具 : 参考書C（閉）	᠎文具：参考书C(闭)
文房具 : 参考書D（閉）	᠎文具：参考书D(闭)
文房具 : 参考書E（閉）	᠎文具：参考书E(闭)
文房具 : 鉛筆（緑）	᠎文具：铅笔(绿色)
文房具 : 鉛筆（黒）	᠎文具：铅笔(黑色)
文房具 : 鉛筆（赤）	᠎文具：铅笔(红色)
文房具 : 消しゴム（青）	᠎文具：橡皮擦(蓝色)
文房具 : 消しゴム（紫）	᠎文具：橡皮擦(紫色)
文房具 : 消しゴム（黄）	᠎文具：橡皮擦(黄)
文房具 : ペン（桃）	᠎文具：笔(桃)
文房具 : ペン（黒）	᠎文具：笔(黑色)
文房具 : ペン（茶）	᠎文具：笔(茶)
文房具 : ペン（緑）	᠎文具：笔(绿色)
文房具 : スティック糊	᠎文具：粘糊糊
グルメ : アクアパッザ	᠎美食：水包装
グルメ : バースデーケーキ	᠎美食：生日蛋糕
グルメ : スープ	᠎美食：汤
グルメ : ショートケーキ	᠎美食：蛋糕蛋糕
グルメ : サンドイッチ	᠎美食：三明治
グルメ : モンブラン	᠎美食：勃朗峰
グルメ : ケーキ	᠎美食：蛋糕
グルメ : フードプレート	᠎美食：食品板块
グルメ : 焼きそば	᠎美食：炒面
グルメ : コーンアイス・チョコミント	᠎美食：玉米冰淇淋·巧克力薄荷
グルメ : コーンアイス・ストロベリー	᠎美食：玉米冰淇淋草莓
グルメ : コーンアイス・バニラ	᠎美食：玉米冰淇淋香草
グルメ : にくまん	᠎美食家：海参
グルメ : 蒸籠にくまん	᠎美食：在蒸笼里
ドリンク : ワインボトル開封済み	᠎饮料：酒瓶已打开
ドリンク : ワインボトル未開封	᠎饮料：酒瓶未开封
ドリンク : グリーンスムージー	᠎饮料：绿色奶昔
ドリンク : レッドスムージー	᠎饮料：红奶昔
ドリンク : カクテル・ブルー	᠎饮料：鸡尾酒蓝
ドリンク : カクテル・レッド	᠎饮料：鸡尾酒红
ドリンク : カクテル・イエロー	᠎饮料：鸡尾酒和黄色
ドリンク : コーヒー	᠎饮料：咖啡
ドリンク : 缶ビール	᠎饮料：罐啤酒
